,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
104,276,PAYMENT,882.55,C997773199,1060.0,177.45,M1586692902,0.0,0.0,0,0
105,332,CASH_IN,155118.96,C812047862,11665.0,166783.96,C1301577022,507097.15,351978.2,0,0
106,252,PAYMENT,7904.82,C1132103702,0.0,0.0,M2079584812,0.0,0.0,0,0
107,182,PAYMENT,2398.17,C1386300081,0.0,0.0,M1673411177,0.0,0.0,0,0
108,355,CASH_IN,31901.98,C1981732609,1931653.48,1963555.47,C985636178,766883.81,734981.83,0,0
109,36,PAYMENT,2472.65,C1505442451,0.0,0.0,M1574658413,0.0,0.0,0,0
110,138,CASH_OUT,185735.16,C1103406068,1018.0,0.0,C1592777184,12508.09,198243.25,0,0
111,301,DEBIT,5477.12,C1374504906,20145.0,14667.88,C1159582438,1093152.77,1098629.88,0,0
112,140,PAYMENT,5176.34,C791122110,0.0,0.0,M218458364,0.0,0.0,0,0
113,683,CASH_OUT,281762.85,C1826697141,0.0,0.0,C1137263418,8676003.38,8957766.23,0,0
114,258,PAYMENT,17951.51,C137104779,20045.0,2093.49,M135022580,0.0,0.0,0,0
115,252,PAYMENT,29038.14,C1478052649,106.0,0.0,M345699410,0.0,0.0,0,0
116,35,CASH_IN,301053.61,C546647887,64938.0,365991.61,C2097200254,0.0,0.0,0,0
117,312,TRANSFER,158222.99,C2140317528,0.0,0.0,C1449466458,179098.38,337321.37,0,0
118,302,CASH_OUT,190336.4,C1364138126,0.0,0.0,C1313628541,980836.79,1171173.19,0,0
119,143,PAYMENT,2086.93,C131942713,0.0,0.0,M52202625,0.0,0.0,0,0
120,348,TRANSFER,1241443.69,C1466242639,0.0,0.0,C1733043216,2198992.39,3440436.08,0,0
121,260,TRANSFER,361404.93,C2144466633,7134.0,0.0,C332709147,222658.38,584063.31,0,0
122,19,PAYMENT,1304.85,C197219476,0.0,0.0,M175076406,0.0,0.0,0,0
123,369,CASH_OUT,414922.3,C272667481,60236.0,0.0,C1165214607,2290618.24,2705540.55,0,0
124,14,CASH_IN,150413.62,C1832521765,620076.33,770489.94,C1387040564,3055781.7,3195615.2,0,0
125,18,PAYMENT,24277.89,C1032250387,189644.0,165366.11,M860465630,0.0,0.0,0,0
126,204,CASH_OUT,30103.09,C1213647329,0.0,0.0,C1641481642,77151.02,107254.11,0,0
127,402,CASH_OUT,183917.57,C1219650108,40553.0,0.0,C569519509,13086621.65,13270539.22,0,0
128,164,CASH_IN,440359.16,C1119451150,712947.62,1153306.78,C1154520644,4257999.78,3817640.62,0,0
129,348,TRANSFER,667184.8,C1604398350,0.0,0.0,C1078613653,1300925.18,1968109.99,0,0
130,181,PAYMENT,9144.96,C1955516485,0.0,0.0,M1103206928,0.0,0.0,0,0
131,40,CASH_OUT,378616.67,C1306933152,5238.0,0.0,C70950046,0.0,378616.67,0,0
132,156,PAYMENT,10221.33,C1331544292,17205.0,6983.67,M1373391563,0.0,0.0,0,0
133,17,CASH_OUT,321772.93,C502578764,0.0,0.0,C952219856,5591043.37,5912816.3,0,0
134,325,CASH_IN,57837.04,C1017463073,6328682.57,6386519.61,C1923034123,307058.31,249221.27,0,0
135,302,PAYMENT,87763.2,C348210566,0.0,0.0,M1115197081,0.0,0.0,0,0
136,263,PAYMENT,7006.05,C1814150309,67115.0,60108.95,M635046134,0.0,0.0,0,0
137,42,CASH_IN,154773.53,C981575945,2039.0,156812.53,C2092107377,309571.06,154797.53,0,0
138,140,PAYMENT,9297.29,C1654217365,23272.27,13974.99,M154701404,0.0,0.0,0,0
139,374,TRANSFER,919653.14,C1685747769,0.0,0.0,C569175527,1732338.8,2651991.95,0,0
140,426,CASH_OUT,247261.86,C1501252424,19821.0,0.0,C598960050,0.0,247261.86,0,0
141,156,PAYMENT,22749.34,C2118795927,215113.2,192363.86,M2036930512,0.0,0.0,0,0
142,42,CASH_OUT,223726.7,C601160120,0.0,0.0,C1753227243,782817.58,1006544.28,0,0
143,129,PAYMENT,7904.03,C1678607942,16024.0,8119.97,M1870211846,0.0,0.0,0,0
144,327,PAYMENT,31944.17,C2127134712,0.0,0.0,M1476568490,0.0,0.0,0,0
145,159,CASH_OUT,159644.38,C1217714333,120932.0,0.0,C62181647,213063.52,372707.89,0,0
146,212,CASH_OUT,173871.91,C1820752190,0.0,0.0,C1061796556,410368.53,584240.45,0,0
147,331,TRANSFER,502829.31,C986312188,12410.0,0.0,C1154752493,278247.34,781076.66,0,0
148,186,DEBIT,275.54,C1673008374,0.0,0.0,C816015114,776757.11,777032.64,0,0
149,397,PAYMENT,51716.89,C532216557,21023.0,0.0,M273513951,0.0,0.0,0,0
150,302,PAYMENT,1312.41,C1758361244,69.0,0.0,M719239759,0.0,0.0,0,0
151,164,CASH_IN,218463.86,C1899826673,304321.59,522785.45,C540283768,1256685.93,1038222.07,0,0
152,286,PAYMENT,6599.79,C2011643042,0.0,0.0,M1750627020,0.0,0.0,0,0
153,188,PAYMENT,1230.08,C587282816,11328.0,10097.92,M415170417,0.0,0.0,0,0
154,321,TRANSFER,860113.58,C960727064,0.0,0.0,C1794949869,2002128.66,2862242.25,0,0
155,619,PAYMENT,4438.5,C1279263435,204594.0,200155.5,M2109291083,0.0,0.0,0,0
156,40,CASH_OUT,152204.21,C2120252665,13900.0,0.0,C2093804021,0.0,152204.21,0,0
157,133,CASH_OUT,120307.93,C562082169,0.0,0.0,C1799929342,316027.4,436335.33,0,0
158,259,PAYMENT,30427.5,C186455587,0.0,0.0,M601395060,0.0,0.0,0,0
159,351,CASH_OUT,68934.19,C452043561,0.0,0.0,C310786900,16828446.42,16897380.61,0,0
160,205,PAYMENT,3726.77,C282554385,16847.0,13120.23,M1545321396,0.0,0.0,0,0
161,544,CASH_OUT,1309.11,C447698395,30993.0,29683.89,C2129356148,0.0,1309.11,0,0
162,311,PAYMENT,25663.85,C276851833,748716.02,723052.17,M2073598486,0.0,0.0,0,0
163,181,PAYMENT,13371.15,C1673403038,45956.0,32584.85,M738807118,0.0,0.0,0,0
164,327,CASH_OUT,170037.18,C406870717,406493.18,236456.0,C1302299100,1582784.16,1752821.34,0,0
165,302,CASH_OUT,182802.86,C42667004,15506.0,0.0,C1764675559,0.0,182802.86,0,0
166,140,CASH_IN,204282.64,C1513965627,61.0,204343.64,C152151663,3421193.26,3216910.62,0,0
167,592,CASH_OUT,205467.58,C1322453783,39222.0,0.0,C2097605634,105724.19,311191.77,0,0
168,373,CASH_OUT,226692.05,C1876819206,21515.0,0.0,C706221139,126567.17,353259.23,0,0
169,349,PAYMENT,8743.52,C1066061855,32850.0,24106.48,M847101681,0.0,0.0,0,0
170,585,PAYMENT,1504.4,C943469020,0.0,0.0,M2032721093,0.0,0.0,0,0
171,163,CASH_IN,45324.93,C1567069726,2735390.57,2780715.51,C1369966781,2909546.84,2864221.91,0,0
172,44,PAYMENT,9996.52,C547043178,31191.0,21194.48,M1911242011,0.0,0.0,0,0
173,228,CASH_OUT,329780.62,C2015992036,0.0,0.0,C660686646,6119886.98,6449667.6,0,0
174,36,CASH_OUT,37208.97,C1974595839,62057.0,24848.03,C401901629,0.0,37208.97,0,0
175,402,CASH_IN,217656.81,C280381178,188.0,217844.81,C680914110,0.0,0.0,0,0
176,300,PAYMENT,7271.6,C900120043,454817.0,447545.4,M1828506228,0.0,0.0,0,0
177,39,PAYMENT,9196.75,C1164189872,0.0,0.0,M1804702003,0.0,0.0,0,0
178,353,CASH_OUT,64609.84,C1775444405,0.0,0.0,C290887234,323076.55,387686.39,0,0
179,350,CASH_IN,18222.31,C145201563,847149.07,865371.38,C1956112489,26867.2,8644.89,0,0
180,155,PAYMENT,1525.57,C1383512091,11294.0,9768.43,M136633513,0.0,0.0,0,0
181,278,CASH_IN,213564.56,C870760358,19316.0,232880.56,C1123530711,82892.34,0.0,0,0
182,714,CASH_OUT,294599.23,C994431945,5092.0,0.0,C1369697223,1234034.23,1528633.46,0,0
183,17,CASH_IN,64262.93,C376721834,0.0,64262.93,C1187576748,45528.09,329350.01,0,0
184,274,PAYMENT,6422.24,C839811189,0.0,0.0,M1021907166,0.0,0.0,0,0
185,354,PAYMENT,5330.48,C1435767354,30722.9,25392.42,M1560434278,0.0,0.0,0,0
186,303,PAYMENT,1750.53,C2040168283,1008196.65,1006446.11,M492681306,0.0,0.0,0,0
187,133,PAYMENT,22514.58,C92735228,673353.5,650838.93,M1135724171,0.0,0.0,0,0
188,142,PAYMENT,5149.02,C452683332,35251.15,30102.13,M230491140,0.0,0.0,0,0
189,132,CASH_OUT,110779.79,C97455695,28258.0,0.0,C881659730,69594.0,196812.53,0,0
190,310,CASH_OUT,293972.54,C65597041,198197.84,0.0,C2042010500,424792.92,718765.46,0,0
191,132,PAYMENT,3821.07,C2144956930,487.0,0.0,M1379639294,0.0,0.0,0,0
192,346,CASH_OUT,272154.56,C1060162321,59259.0,0.0,C134264891,0.0,272154.56,0,0
193,190,CASH_IN,134707.88,C1118010931,11067703.08,11202410.96,C2044596982,583473.45,448765.57,0,0
194,249,CASH_OUT,353998.43,C1218288901,11369.0,0.0,C444564613,0.0,353998.43,0,0
195,324,CASH_IN,438063.01,C38980215,480895.2,918958.21,C1045156498,705211.97,267148.96,0,0
196,21,PAYMENT,24596.42,C1464768363,0.0,0.0,M187616365,0.0,0.0,0,0
197,687,PAYMENT,25427.6,C398602916,0.0,0.0,M1472925984,0.0,0.0,0,0
198,129,CASH_OUT,115791.02,C1170943491,0.0,0.0,C1141550716,119105.44,234896.46,0,0
199,217,PAYMENT,24864.26,C242484774,0.0,0.0,M347702178,0.0,0.0,0,0
200,234,PAYMENT,19537.59,C1929658205,0.0,0.0,M672202359,0.0,0.0,0,0
201,476,PAYMENT,15408.66,C19719577,0.0,0.0,M1326630464,0.0,0.0,0,0
202,304,PAYMENT,8414.3,C648153114,236591.08,228176.78,M1198227392,0.0,0.0,0,0
203,323,CASH_IN,325088.11,C1089586341,1801790.11,2126878.22,C1050245227,866224.2,541136.09,0,0
204,400,TRANSFER,106259.0,C1267222899,0.0,0.0,C1296798452,1238171.56,1344430.56,0,0
205,253,PAYMENT,1041.04,C1105851448,0.0,0.0,M836304423,0.0,0.0,0,0
206,137,PAYMENT,14607.0,C311554036,0.0,0.0,M544220717,0.0,0.0,0,0
207,283,PAYMENT,10990.87,C636510532,79688.0,68697.13,M1749574706,0.0,0.0,0,0
208,121,CASH_IN,53730.35,C2115031031,8508901.19,8562631.54,C1459883919,431382.76,377652.41,0,0
209,229,PAYMENT,11353.95,C1223946186,52904.0,41550.05,M143829700,0.0,0.0,0,0
210,283,CASH_IN,539923.73,C1233309911,1007791.56,1547715.29,C1360865580,709404.41,169480.68,0,0
211,250,PAYMENT,2280.87,C2028817837,320873.51,318592.63,M1113058073,0.0,0.0,0,0
212,379,CASH_OUT,206731.5,C499151485,0.0,0.0,C565045376,333283.55,540015.06,0,0
213,9,CASH_IN,82566.92,C1173779602,19670049.09,19752616.02,C950030159,344587.75,0.0,0,0
214,397,CASH_IN,250820.93,C189140019,165484.0,416304.93,C2044820361,0.0,0.0,0,0
215,183,CASH_IN,229040.61,C1955605280,2564091.32,2793131.93,C121488263,7838150.73,7609110.12,0,0
216,619,TRANSFER,261711.59,C1058912893,0.0,0.0,C557030255,11177142.35,11300464.73,0,0
217,203,TRANSFER,597873.27,C1523649578,5.0,0.0,C1249867037,2629400.13,3227273.4,0,0
218,19,CASH_OUT,138579.94,C1368202778,0.0,0.0,C1990636807,1141216.75,1279796.69,0,0
219,186,PAYMENT,2315.82,C1908414561,302822.0,300506.18,M1452310883,0.0,0.0,0,0
220,396,CASH_IN,221353.9,C2127754097,1230563.43,1451917.33,C1448319122,327975.37,106621.47,0,0
221,259,PAYMENT,3158.48,C585487218,0.0,0.0,M1830288730,0.0,0.0,0,0
222,186,CASH_IN,160847.24,C1377166463,19532697.32,19693544.56,C218570304,938147.44,777300.21,0,0
223,249,CASH_IN,94728.97,C2126364588,21453.0,116181.97,C539190141,8709173.14,8614444.17,0,0
224,139,CASH_OUT,122601.83,C827706494,20640.0,0.0,C158193542,462995.59,593470.82,0,0
225,249,TRANSFER,370799.18,C1975135155,10949.0,0.0,C462875575,423538.02,794337.2,0,0
226,373,PAYMENT,2658.96,C908873177,90786.74,88127.78,M353672583,0.0,0.0,0,0
227,35,TRANSFER,943713.21,C1533527666,0.0,0.0,C758646838,1268513.74,2218577.36,0,0
228,514,CASH_IN,262352.06,C1795856670,5580314.84,5842666.9,C36968399,7397584.22,7135232.16,0,0
229,181,CASH_IN,318823.29,C49035544,4483589.75,4802413.04,C484318263,339600.19,20776.89,0,0
230,157,CASH_OUT,267822.68,C1339604162,105648.0,0.0,C1330463220,2175655.68,2524255.76,0,0
231,20,CASH_OUT,67157.02,C476415558,0.0,0.0,C685032239,10129775.04,10196932.05,0,0
232,184,PAYMENT,19080.63,C564546117,81406.0,62325.37,M872316166,0.0,0.0,0,0
233,163,PAYMENT,4054.02,C1111668835,304540.35,300486.33,M498673344,0.0,0.0,0,0
234,305,TRANSFER,4638305.37,C656640652,0.0,0.0,C594610871,10374844.03,15013149.4,0,0
235,377,PAYMENT,20698.24,C1147718566,0.0,0.0,M742832849,0.0,0.0,0,0
236,229,CASH_OUT,23476.54,C756928148,0.0,0.0,C484130374,746219.99,769696.52,0,0
237,237,CASH_IN,28431.21,C1340316710,4850667.7,4879098.91,C2034264988,3120274.81,3091843.6,0,0
238,10,CASH_OUT,18674.27,C1114002038,0.0,0.0,C1200612373,4007927.84,4363801.85,0,0
239,181,CASH_OUT,140041.12,C1336662825,0.0,0.0,C512949725,3515397.39,3655438.51,0,0
240,378,TRANSFER,437641.12,C1713000665,676.0,0.0,C1738512075,0.0,437641.12,0,0
241,131,CASH_OUT,3828.89,C1077753784,905113.0,901284.11,C32287842,3533534.35,3537363.24,0,0
242,138,PAYMENT,17394.4,C1755977536,315818.0,298423.6,M915185309,0.0,0.0,0,0
243,230,CASH_OUT,346134.35,C2031296719,21925.0,0.0,C144801710,0.0,346134.35,0,0
244,236,PAYMENT,24758.71,C846025480,2440.0,0.0,M318530601,0.0,0.0,0,0
245,45,CASH_OUT,139440.99,C1512101181,2269.0,0.0,C1925519817,432035.1,571476.08,0,0
246,299,CASH_OUT,231602.52,C1548041041,83601.0,0.0,C1630973721,1670320.68,1901923.2,0,0
247,281,CASH_OUT,91014.39,C1958124928,2082.0,0.0,C1132578116,2188341.63,2279356.02,0,0
248,185,CASH_OUT,313993.13,C1352301894,10375.0,0.0,C1722163749,0.0,313993.13,0,0
249,307,CASH_OUT,187368.42,C194330642,0.0,0.0,C519422484,2952391.6,3139760.02,0,0
250,131,CASH_OUT,168133.88,C803527391,437750.0,269616.12,C992147268,27204086.22,27543221.34,0,0
251,185,CASH_OUT,140373.11,C956935330,0.0,0.0,C1125122113,421829.2,562202.31,0,0
252,42,CASH_OUT,206262.71,C713681035,30904.0,0.0,C1064863488,285323.22,491585.93,0,0
253,451,PAYMENT,8292.77,C1694590386,69983.0,61690.23,M128751187,0.0,0.0,0,0
254,11,CASH_OUT,66145.01,C2102478363,617885.06,551740.04,C452485529,324291.47,64990.59,0,0
255,185,CASH_IN,399323.12,C656994758,4247038.56,4646361.69,C1645537920,406110.73,6787.61,0,0
256,230,PAYMENT,7989.89,C1963771784,0.0,0.0,M583995333,0.0,0.0,0,0
257,130,CASH_OUT,595409.84,C48096899,12512.0,0.0,C1705205339,4826640.95,5422050.79,0,0
258,159,CASH_IN,293226.41,C733020165,5596893.72,5890120.12,C702354925,1838078.45,1544852.05,0,0
259,160,CASH_IN,19240.15,C1832302881,6138035.42,6157275.57,C1662761228,8582612.55,8563372.4,0,0
260,208,CASH_OUT,126333.37,C1627346999,426088.0,299754.63,C1696798454,0.0,126333.37,0,0
261,236,PAYMENT,21251.29,C915256625,0.0,0.0,M1992996008,0.0,0.0,0,0
262,281,DEBIT,5171.15,C1523524191,74834.0,69662.85,C1135888344,66809.31,71980.47,0,0
263,35,PAYMENT,394.17,C1100948130,64886.46,64492.29,M1526611339,0.0,0.0,0,0
264,184,CASH_OUT,63022.1,C1188635369,0.0,0.0,C851645651,584733.22,647755.32,0,0
265,138,CASH_OUT,119193.35,C1990648275,0.0,0.0,C312713305,1052725.45,1171918.81,0,0
266,190,PAYMENT,8872.81,C747394955,484083.0,475210.19,M931025239,0.0,0.0,0,0
267,259,CASH_OUT,38084.07,C1861359870,1022.0,0.0,C2143181076,1390688.69,1428772.77,0,0
268,381,CASH_OUT,103203.36,C2021497784,69281.0,0.0,C1300336896,2747535.17,2850738.53,0,0
269,287,CASH_OUT,99809.3,C43481739,30495.0,0.0,C1876595582,161692.03,261501.33,0,0
270,13,CASH_OUT,335.9,C1653878554,0.0,0.0,C1142114051,266513.62,166461.75,0,0
271,301,CASH_OUT,32382.38,C562659141,30553.0,0.0,C1722975380,385283.17,589768.5,0,0
272,235,PAYMENT,3258.07,C159682214,0.0,0.0,M1743133649,0.0,0.0,0,0
273,305,PAYMENT,26943.31,C1995278710,0.0,0.0,M399683905,0.0,0.0,0,0
